"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES UNDERLYING DRS (C1)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","AS ON DATE","ACTION"
"Capital Trust Limited","66.95","32.17",,"0.88","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156269_425905_08042021092849_WEB.xml"
"Apcotex Industries Limited","58.17","41.83",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156270_425915_08042021095622_WEB.xml"
"Garden Reach Shipbuilders & Engineers Limited","74.5","25.5",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156272_425955_09042021100251_WEB.xml"
"Bharat Heavy Electricals Limited","63.17","36.83",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156273_425959_09042021100736_WEB.xml"
"Chennai Petroleum Corporation Limited","67.29","32.71",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156274_425983_09042021102707_WEB.xml"
"TTK Healthcare Limited","74.56","25.44",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156276_425994_09042021103023_WEB.xml"
"Simplex Infrastructures Limited","49.82","50.17",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156277_426001_09042021103310_WEB.xml"
"Jyothy Labs Limited","62.89","37.11",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156280_426031_09042021105643_WEB.xml"
"Kakatiya Cement Sugar & Industries Limited","54.26","45.75",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156282_426047_09042021111036_WEB.xml"
"HDFC Asset Management Company Limited","73.92","26.08",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156283_426052_09042021111617_WEB.xml"
"Mcnally Bharat Engineering Company Limited","34.21","65.79",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156286_426075_09042021113102_WEB.xml"
"Fertilizers and Chemicals Travancore Limited","90","10",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156288_426091_09042021113638_WEB.xml"
"Mangalore Chemicals & Fertilizers Limited","60.02","39.98",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156289_426098_09042021113804_WEB.xml"
"PNB Housing Finance Limited","32.64","67.36",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156290_426103_09042021113901_WEB.xml"
"Indian Railway Catering And Tourism Corporation Limited","67.4","32.6",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156291_426105_09042021113918_WEB.xml"
"VRL Logistics Limited","69.59","30.41",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156292_426108_09042021113923_WEB.xml"
"Aaa Technologies Limited","71.51","28.49",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156294_426125_09042021114838_WEB.xml"
"Jet Knitwears Limited","68.21","31.79",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156295_426129_09042021114926_WEB.xml"
"Procter & Gamble Hygiene and Health Care Limited","70.64","29.36",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156296_426161_09042021120540_WEB.xml"
"GFL Limited","68.72","31.28",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156298_426172_09042021120943_WEB.xml"
"Transwind Infrastructures Limited","55.81","44.2",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156299_426181_09042021121206_WEB.xml"
"DCW Limited","46.69","53.31",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156301_426204_09042021122005_WEB.xml"
"Anant Raj Limited","65.04","34.96",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156302_426206_09042021122130_WEB.xml"
"Prince Pipes And Fittings Limited","63.25","36.75",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156303_426211_09042021122225_WEB.xml"
"Bartronics India Limited","10.55","89.45",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156304_426226_09042021122437_WEB.xml"
"Max Financial Services Limited","16.99","83.01",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156306_426230_09042021122507_WEB.xml"
"Rico Auto Industries Limited","50.32","49.68",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156307_426234_09042021122746_WEB.xml"
"TTK Prestige Limited","70.41","29.59",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156308_426255_09042021123504_WEB.xml"
"Tata Teleservices (Maharashtra) Limited","74.36","25.64",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156309_426275_09042021123709_WEB.xml"
"Angel Broking Limited","44.55","55.45",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156313_426290_09042021124337_WEB.xml"
"Johnson Controls - Hitachi Air Conditioning India Limited","74.25","25.74",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156314_426314_09042021124847_WEB.xml"
"LG Balakrishnan & Bros Limited","43.36","56.64",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156315_426337_09042021125828_WEB.xml"
"Man Infraconstruction Limited","65.72","34.28",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156316_426358_09042021010926_WEB.xml"
"Newgen Software Technologies Limited","65.73","33.35",,"0.93","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156318_426366_09042021011300_WEB.xml"
"TV Today Network Limited","58.45","41.55",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156320_426372_09042021011549_WEB.xml"
"IG Petrochemicals Limited","68.74","31.26",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156321_426383_09042021012225_WEB.xml"
"Bank of Baroda","63.97","36.03",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156322_426397_09042021012725_WEB.xml"
"ShreeOswal Seeds And Chemicals Limited","69.98","30.02",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156324_426403_09042021013100_WEB.xml"
"Sumeet Industries Limited","21.67","78.33",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156325_426405_09042021013120_WEB.xml"
"Jai Balaji Industries Limited","50.98","49.02",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156326_426416_09042021013246_WEB.xml"
"MM Forgings Limited","56.34","43.66",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156328_426458_09042021015950_WEB.xml"
"Superhouse Limited","54.88","45.12",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156329_426462_09042021020112_WEB.xml"
"Garware Technical Fibres Limited","52.62","47.38",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156332_426477_09042021021821_WEB.xml"
"Kalyan Jewellers India Limited","60.53","39.47",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156334_426494_09042021022327_WEB.xml"
"Ortel Communications Limited","55.43","44.37",,"0.2","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156336_426499_09042021022601_WEB.xml"
"Aarti Industries Limited","46.82","53.18",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156339_426505_09042021022941_WEB.xml"
"GKW Limited","75","25",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156340_426526_09042021024556_WEB.xml"
"Max Ventures and Industries Limited","49.68","50.32",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156341_426531_09042021024806_WEB.xml"
"Cummins India Limited","51","49",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156342_426533_09042021024904_WEB.xml"
"Precision Wires India Limited","59.67","40.33",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156344_426562_09042021030019_WEB.xml"
"Alphageo (India) Limited","46.21","53.79",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156346_426579_09042021030336_WEB.xml"
"Radico Khaitan Limited","40.3","59.7",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156347_426581_09042021030400_WEB.xml"
"Mafatlal Finance Limited","63.74","36.27",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156349_426601_09042021031459_WEB.xml"
"Manappuram Finance Limited","34.99","65.01",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156351_426616_09042021031951_WEB.xml"
"Cyber Media (India) Limited","61.79","38.21",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156352_426627_09042021032444_WEB.xml"
"Emmbi Industries Limited","58.28","41.72",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156353_426629_09042021032509_WEB.xml"
"Generic Engineering Construction and Projects Limited","54.5","45.5",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156357_426669_09042021034208_WEB.xml"
"Share India Securities Limited","55.87","44.13",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156360_426703_09042021034955_WEB.xml"
"Xpro India Limited","50.02","49.97",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156361_426735_09042021040103_WEB.xml"
"DCB Bank Limited","14.88","85.12",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156362_426736_09042021040105_WEB.xml"
"India Motor Parts and Accessories Limited","30.72","69.29",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156363_426738_09042021040116_WEB.xml"
"Trident Limited","73.02","25.02",,"1.96","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156365_426763_09042021041125_WEB.xml"
"Suven Pharmaceuticals Limited","60","40",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156369_426778_09042021041740_WEB.xml"
"Vaswani Industries Limited","58.33","41.67",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156373_426808_09042021042502_WEB.xml"
"Shipping Corporation Of India Limited","63.75","36.25",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156376_426848_09042021043815_WEB.xml"
"Manaksia Aluminium Company Limited","71.99","28.01",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156377_426849_09042021043815_WEB.xml"
"Transport Corporation of India Limited","66.71","33.29",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156378_426854_09042021043920_WEB.xml"
"Himatsingka Seide Limited","47.57","52.43",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156379_426856_09042021043926_WEB.xml"
"GIC Housing Finance Limited","42.41","57.59",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156381_426867_09042021044305_WEB.xml"
"Hindustan Copper Limited","76.05","23.95",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156382_426882_09042021044553_WEB.xml"
"Kanoria Chemicals & Industries Limited","74.43","25.57",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156384_426889_09042021044713_WEB.xml"
"Rushil Decor Limited","58.54","41.46",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156386_426897_09042021044812_WEB.xml"
"Zenith Exports Limited","51.75","48.25",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156387_426899_09042021044846_WEB.xml"
"PTC India Limited","16.22","83.78",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156388_426904_09042021044922_WEB.xml"
"HB Stockholdings Limited","53.22","46.78",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156389_426922_09042021045606_WEB.xml"
"Balkrishna Paper Mills Limited","58.71","41.29",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156390_426927_09042021045706_WEB.xml"
"Gretex Industries Limited","52.98","47.01",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156391_426946_09042021050132_WEB.xml"
"Tainwala Chemical and Plastic (I) Limited","67.11","32.89",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156392_426948_09042021050147_WEB.xml"
"Gujarat State Petronet Limited","37.63","62.37",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156393_426973_09042021051516_WEB.xml"
"HOV Services Limited","50.44","49.56",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156394_426980_09042021051728_WEB.xml"
"HSIL Limited","60.23","39.75",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156395_426993_09042021051935_WEB.xml"
"Vardhman Special Steels Limited","60.73","39.27",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156396_426997_09042021052125_WEB.xml"
"Vardhman Textiles Limited","63.27","36.73",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156397_427018_09042021053038_WEB.xml"
"Vinyl Chemicals (India) Limited","50.62","49.38",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156398_427026_09042021053157_WEB.xml"
"Murudeshwar Ceramics Limited","69.84","30.16",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156399_427047_09042021053902_WEB.xml"
"Gulshan Polyols Limited","68.2","31.18",,"0.62","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156400_427050_09042021053954_WEB.xml"
"Sikko Industries Limited","71.43","28.57",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156402_427060_09042021054312_WEB.xml"
"Shree Digvijay Cement Co.Ltd","56.8","43.2",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156403_427062_09042021054357_WEB.xml"
"Tide Water Oil Company (India) Limited","57.28","40.26",,"2.46","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156404_427080_09042021054746_WEB.xml"
"Patel Engineering Limited","56.23","40.94",,"2.83","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156405_427100_09042021055327_WEB.xml"
"WABCO India Limited","80.43","19.57",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156406_427103_09042021055444_WEB.xml"
"Sarveshwar Foods Limited","73.67","26.32",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156407_427116_09042021055718_WEB.xml"
"Stove Kraft Limited","54.36","45.64",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156408_427160_09042021060257_WEB.xml"
"Gulf Oil Lubricants India Limited","71.99","28",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156410_427174_09042021060727_WEB.xml"
"Kothari Petrochemicals Limited","70.98","29.02",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156412_427179_09042021060852_WEB.xml"
"Rolta India Limited","2.31","97.69",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156413_427182_09042021061035_WEB.xml"
"HEC Infra Projects Limited","73.41","26.6",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156414_427211_09042021062115_WEB.xml"
"CREDITACCESS GRAMEEN LIMITED","74","26",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156415_427218_09042021062311_WEB.xml"
"Firstsource Solutions Limited","53.72","43.83",,"2.44","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156416_427224_09042021062443_WEB.xml"
"Continental Seeds and Chemicals Limited","72.27","27.72",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156417_427227_09042021062557_WEB.xml"
"DC Infotech and Communication Limited","60","40",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156418_427238_09042021063559_WEB.xml"
"Capri Global Capital Limited","74.87","25.13",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156419_427247_09042021063837_WEB.xml"
"Dynacons Systems & Solutions Limited","51.27","48.73",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156421_427294_09042021065909_WEB.xml"
"Shilpa Medicare Limited","53.25","46.75",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156423_427303_09042021070400_WEB.xml"
"Central Depository Services (India) Limited","20","79.98",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156424_427313_09042021071151_WEB.xml"
"Kirloskar Brothers Limited","65.95","34.05",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156425_427326_09042021072107_WEB.xml"
"Zee Media Corporation Limited","18.12","81.88",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156426_427334_09042021072739_WEB.xml"
"Strides Pharma Science Limited","29.67","70.33",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156428_427392_09042021080942_WEB.xml"
"SRF Limited","50.77","49.23",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156429_427411_09042021082502_WEB.xml"
"Aarti Surfactants Limited","48.68","51.32",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156430_427413_09042021082609_WEB.xml"
"Trigyn Technologies Limited","44.51","55.49",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156431_427426_09042021083905_WEB.xml"
"Albert David Limited","61.25","38.75",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156433_427487_09042021110054_WEB.xml"
"VIP Industries Limited","53.46","46.54",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156435_427515_10042021091019_WEB.xml"
"RPSG VENTURES LIMITED","49.92","50.08",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156436_427525_10042021095721_WEB.xml"
"Munjal Showa Limited","65.02","34.98",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156438_427532_10042021101939_WEB.xml"
"Ajooni Biotech Limited","51.64","48.36",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156441_427543_10042021104143_WEB.xml"
"Tata Steel Limited","34.41","65.59",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156442_427550_10042021105055_WEB.xml"
"IVP Limited","71.32","28.68",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156443_427554_10042021105503_WEB.xml"
"Lakshmi Finance & Industrial Corporation Limited","47","52.99",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156445_427565_10042021110312_WEB.xml"
"Tarapur Transformers Limited","44.63","55.37",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156446_427588_10042021112003_WEB.xml"
"Ambika Cotton Mills Limited","50.17","49.83",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156448_427611_10042021114113_WEB.xml"
"Steel City Securities Limited","62.57","37.44",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156451_427630_10042021115442_WEB.xml"
"Salzer Electronics Limited","35.83","64.17",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156452_427642_10042021120233_WEB.xml"
"Siyaram Silk Mills Limited","67.19","32.81",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156453_427647_10042021120726_WEB.xml"
"Revathi Equipment Limited","72.58","27.42",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156455_427652_10042021121753_WEB.xml"
"Macpower CNC Machines Limited","72.56","27.45",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156457_427658_10042021122147_WEB.xml"
"Spandana Sphoorty Financial Limited","62.38","37.62",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156462_427693_10042021123828_WEB.xml"
"Alps Industries Limited","27.06","72.94",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156464_427705_10042021125323_WEB.xml"
"Bil Energy Systems Limited","46.79","53.21",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156467_427716_10042021010755_WEB.xml"
"Sakar Healthcare Limited","74.02","25.97",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156469_427722_10042021010954_WEB.xml"
"Gujarat Apollo Industries Limited","56.4","43.6",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156470_427726_10042021011105_WEB.xml"
"JSW Steel Limited","44.07","55.45",,"0.47","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156471_427729_10042021011544_WEB.xml"
"La Opala RG Limited","65.64","34.36",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156472_427733_10042021013417_WEB.xml"
"Vaxtex Cotfab Limited","73.61","26.39",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156473_427742_10042021014000_WEB.xml"
"Aro Granite Industries Limited","41.06","58.94",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156475_427766_10042021023154_WEB.xml"
"Symphony Limited","73.25","26.75",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156476_427778_10042021025330_WEB.xml"
"Shankara Building Products Limited","56.45","43.55",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156477_427785_10042021025804_WEB.xml"
"Ruchira Papers Limited","64.07","35.93",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156478_427804_10042021032401_WEB.xml"
"Rossari Biotech Limited","72.69","27.31",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156479_427816_10042021032858_WEB.xml"
"Bannari Amman Sugars Limited","58.7","41.3",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156480_427818_10042021032912_WEB.xml"
"Banswara Syntex Limited","58.87","41.13",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156483_427832_10042021033923_WEB.xml"
"Rama Steel Tubes Limited","62.33","37.66",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156484_427838_10042021034625_WEB.xml"
"Neogen Chemicals Limited","64.33","35.67",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156487_427861_10042021040858_WEB.xml"
"Insecticides (India) Limited","68.89","31.11",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156488_427882_10042021041615_WEB.xml"
"PPAP Automotive Limited","64.78","35.22",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156489_427897_10042021042158_WEB.xml"
"Sharda Cropchem Limited","74.82","25.18",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156490_427909_10042021042802_WEB.xml"
"Banaras Beads Limited","57.8","42.2",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156491_427920_10042021043306_WEB.xml"
"Ahlada Engineers Limited","50.36","49.64",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156492_427932_10042021043756_WEB.xml"
"Dhunseri Ventures Limited","75","25",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156493_427965_10042021045449_WEB.xml"
"Aavas Financiers Limited","50.08","49.92",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156494_427988_10042021051725_WEB.xml"
"TGB Banquets And Hotels Limited","31.71","68.29",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156495_428004_10042021053248_WEB.xml"
"Uttam Sugar Mills Limited","75","25",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156496_428026_10042021054918_WEB.xml"
"Blue Blends (I) Limited","53.16","46.84",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156497_428035_10042021055841_WEB.xml"
"HDFC Bank Limited","25.97","74.03",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156498_428038_10042021060718_WEB.xml"
"Hi-Tech Pipes Limited","62.48","37.5",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156500_428052_10042021062740_WEB.xml"
"Glenmark Pharmaceuticals Limited","46.63","53.37",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156501_428054_10042021062849_WEB.xml"
"Future Supply Chain Solutions Limited","23.09","76.91",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156504_428096_10042021075822_WEB.xml"
"Indo Count Industries Limited","58.94","41.06",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156505_428114_10042021092851_WEB.xml"
"Spencer's Retail Limited","56.51","43.49",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156506_428126_10042021095749_WEB.xml"
"Thirumalai Chemicals Limited","41.9","58.1",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156507_428148_10042021115232_WEB.xml"
"Prime Securities Limited","0","100",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156508_428171_11042021024534_WEB.xml"
"Exide Industries Limited","45.99","54.01",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156509_428173_11042021033129_WEB.xml"
"Jet Freight Logistics Limited","69.28","30.72",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156511_428181_11042021052953_WEB.xml"
"Tata Elxsi Limited","44.53","55.47",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156512_428204_11042021090129_WEB.xml"
"Elgi Rubber Company Limited","65.03","34.97",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156514_428221_12042021090818_WEB.xml"
"V2 Retail Limited","54","46",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156515_428235_12042021094834_WEB.xml"
"Zicom Electronic Security Systems Limited","4.38","95.62",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156516_428237_12042021094912_WEB.xml"
"Gillette India Limited","75","25",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156518_428245_12042021100747_WEB.xml"
"Mukand Engineers Limited","52.74","47.26",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156520_428275_12042021103210_WEB.xml"
"Dynacons Systems & Solutions Limited","51.27","48.73",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156522_428286_12042021103811_WEB.xml"
"NELCO Limited","50.09","49.91",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156523_428293_12042021104451_WEB.xml"
"Grindwell Norton Limited","58.32","41.68",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156524_428297_12042021104609_WEB.xml"
"Endurance Technologies Limited","75","25",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156526_428301_12042021105117_WEB.xml"
