"NAME OF COMPANY","TOTAL NO. OF ISSUED SHARES A+B+C","TOTAL PROMOTER HOLDING NO. OF SHARES (A)","TOTAL PROMOTER HOLDING % A /(A+B+C)","TOTAL PUBLIC HOLDING (%)B","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER NO. OF SHARES (X)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF PROMOTER SHARES (X/A)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF TOTAL SHARES [X/(A+B+C)]","DISCLOSURE MADE BY PROMOTERS","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM NO. OF SHARES PLEDGED","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM TOTAL NO. OF DEMAT SHARES","(%) PLEDGE / DEMAT","BROADCAST DATE"
"Deepak Nitrite Limited","136393041","62319968","    45.69","74073073",,,,"09-Apr-2021 11:30:31","3314981","135441819","2.45","09-Apr-2021 11:30:31"
"Delta Corp Limited","266820937","88797440","    33.28","178023497","8000000","     9.01","     3.00","09-Apr-2021 11:30:27","42748174","265219637","16.12","09-Apr-2021 11:30:27"
"Delta Manufacturing Limited","10851120","7672788","    70.71","3178332","0","     0.00","     0.00","09-Apr-2021 11:30:12","87688","10536397","0.83","09-Apr-2021 11:30:12"
"Den Networks Limited","477223845","413402931","    86.63","63820914",,,,"09-Apr-2021 11:30:30","9735508","477029699","2.04","09-Apr-2021 11:30:30"
"Dewan Housing Finance Corporation Limited","313823024","123049714","    39.21","190773310","123049714","   100.00","    39.21","09-Apr-2021 11:30:13","9128562","313037295","2.92","09-Apr-2021 11:30:13"
"Dhampur Sugar Mills Limited","66387590","32585637","    49.08","33801953","250000","     0.77","     0.38","09-Apr-2021 11:30:12","7670727","66161707","11.59","09-Apr-2021 11:30:12"
"Dhani Services Limited","610024010","194738296","    31.92","415285714","0","     0.00","     0.00","09-Apr-2021 11:30:29","28969068","527102050","5.5","09-Apr-2021 11:30:29"
"Dhanlaxmi Bank Limited","253012084","0","     0.00","253012084","0",,"     0.00","09-Apr-2021 11:30:18","17171015","250868229","6.84","09-Apr-2021 11:30:18"
"Dhanuka Agritech Limited","46578324","35016632","    75.18","11561692","1209000","     3.45","     2.60","09-Apr-2021 11:30:32","426538","46219116","0.92","09-Apr-2021 11:30:32"
"Dharani Sugars & Chemicals Limited","33200000","20436006","    61.55","12763994","11032168","    53.98","    33.23","09-Apr-2021 11:30:10","11652432","31772219","36.67","09-Apr-2021 11:30:10"
"Dhunseri Investments Limited","6097178","4569999","    74.95","1527179","0","     0.00","     0.00","09-Apr-2021 11:30:31","23574","5894516","0.4","09-Apr-2021 11:30:31"
"Dhunseri Tea & Industries Limited","7004951","4826195","    68.90","2178756","0","     0.00","     0.00","09-Apr-2021 11:30:33","75194","6958600","1.08","09-Apr-2021 11:30:33"
"Dhunseri Ventures Limited","35024754","26268000","    75.00","8756754","0","     0.00","     0.00","09-Apr-2021 11:30:28","305470","34833432","0.88","09-Apr-2021 11:30:28"
"DiGiSPICE Technologies Limited","227902065","169447570","    74.35","58454495","0","     0.00","     0.00","09-Apr-2021 11:30:29","213412","227371965","0.09","09-Apr-2021 11:30:29"
"Diamond Power Infra Ltd","269710679","30770802","    11.41","238939877","30770802","   100.00","    11.41","09-Apr-2021 11:30:31","31758785","268804573","11.81","09-Apr-2021 11:30:31"
"Digjam Limited","87641621","27527589","    31.41","60114032","3600205","    13.08","     4.11","09-Apr-2021 11:30:34","4518119","86938763","5.2","09-Apr-2021 11:30:34"
"Diligent Media Corporation Limited","117708018","73173769","    62.17","44534249","8830306","    12.07","     7.50","09-Apr-2021 11:30:35","9944567","117626013","8.45","09-Apr-2021 11:30:35"
"Dilip Buildcon Limited","136769768","102571368","    75.00","34198400","25881347","    25.23","    18.92","09-Apr-2021 11:30:34","28432993","136769668","20.79","09-Apr-2021 11:30:34"
"Dish TV India Limited","1841287514","134484207","     7.30","1706803307","68788845","    51.15","     3.74","09-Apr-2021 11:30:26","155123693","1840930178","8.43","09-Apr-2021 11:30:26"
"Divi's Laboratories Limited","265468580","137899200","    51.95","127569380","0","     0.00","     0.00","09-Apr-2021 11:30:20","2217946","265277094","0.84","09-Apr-2021 11:30:20"
"Dolphin Offshore Enterprises (India) Limited","16772518","9195954","    54.83","7576564","6090192","    66.23","    36.31","09-Apr-2021 11:30:25","5158243","16555798","31.16","09-Apr-2021 11:30:25"
"Donear Industries Limited","52000000","38772034","    74.56","13227966","0","     0.00","     0.00","09-Apr-2021 11:30:25","1320863","51983674","2.54","09-Apr-2021 11:30:25"
"Dr. Reddy's Laboratories Limited","166298116","44820032","    26.95","121478084","0","     0.00","     0.00","09-Apr-2021 11:30:07","1410068","165718528","0.85","09-Apr-2021 11:30:07"
"Dredging Corporation of India Limited","28000000","20572013","    73.47","7427987",,,,"09-Apr-2021 11:30:21","864943","27997807","3.09","09-Apr-2021 11:30:21"
"Ducon Infratechnologies Limited","104675117","58442569","    55.83","46232548","0","     0.00","     0.00","09-Apr-2021 11:30:33","1348961","176379927","0.76","09-Apr-2021 11:30:33"
"Dwarikesh Sugar Industries Limited","188301470","79233510","    42.08","109067960","0","     0.00","     0.00","09-Apr-2021 11:30:22","11348317","188048670","6.03","09-Apr-2021 11:30:22"
"Dynacons Systems & Solutions Limited","9173080","4234984","    46.17","4938096","0","     0.00","     0.00","09-Apr-2021 11:30:32","149700","9133940","1.64","09-Apr-2021 11:30:32"
"Dynamatic Technologies Limited","6341443","3093245","    48.78","3248198","475500","    15.37","     7.50","09-Apr-2021 11:30:17","678344","6277282","10.81","09-Apr-2021 11:30:17"
"EBIXCASH WORLD MONEY INDIA LIMITED","11127890","10008200","    89.94","1119690","0","     0.00","     0.00","09-Apr-2021 11:30:32","34704","10882627","0.32","09-Apr-2021 11:30:32"
"EID Parry India Limited","177076696","79280152","    44.77","97796544","23000","     0.03","     0.01","09-Apr-2021 11:30:15","18104645","175078058","10.34","09-Apr-2021 11:30:15"
"EIH Associated Hotels Limited","30468147","22850316","    75.00","7617831","0","     0.00","     0.00","09-Apr-2021 11:30:11","276365","30321625","0.91","09-Apr-2021 11:30:11"
"EIH Limited","625364182","223526677","    35.74","401837505","0","     0.00","     0.00","09-Apr-2021 11:30:13","4823104","620338779","0.78","09-Apr-2021 11:30:13"
"EPL Limited","315565607","163973866","    51.96","151591741","0","     0.00","     0.00","09-Apr-2021 11:30:08","3974223","313877005","1.27","09-Apr-2021 11:30:08"
"Eastern Silk Industries Limited","78952620","40488351","    51.28","38464269","40488351","   100.00","    51.28","09-Apr-2021 11:30:13","41093218","77799391","52.82","09-Apr-2021 11:30:13"
"Eastern Sug & Inds Limited","29150100","1593039","     5.46","27557061","115000","     7.22","     0.39","09-Apr-2021 11:30:16","32036","14066000","0.23","09-Apr-2021 11:30:16"
"Easun Reyrolle Limited","30794141","11093784","    36.03","19700357","0","     0.00","     0.00","09-Apr-2021 11:30:17","493781","30412124","1.62","09-Apr-2021 11:30:17"
"Edelweiss Financial Services Limited","934994652","352581270","    37.71","582413382","35608000","    10.10","     3.81","09-Apr-2021 11:30:28","66296947","935216967","7.09","09-Apr-2021 11:30:28"
"Educomp Solutions Limited","122467168","54838245","    44.78","67628923","51771578","    94.41","    42.27","09-Apr-2021 11:30:23","54007864","122463308","44.1","09-Apr-2021 11:30:23"
"Eicher Motors Limited","273256830","134564270","    49.24","138692560","0","     0.00","     0.00","09-Apr-2021 11:30:09","1457697","270762762","0.54","09-Apr-2021 11:30:09"
"Eimco Elecon (India) Limited","5768385","4271795","    74.06","1496590","676000","    15.82","    11.72","09-Apr-2021 11:30:16","258658","5697829","4.54","09-Apr-2021 11:30:16"
"Elecon Engineering Company Limited","112199965","66420052","    59.20","45779913","21850000","    32.90","    19.47","09-Apr-2021 11:30:04","2331281","110497205","2.11","09-Apr-2021 11:30:04"
"Electrosteel Castings Limited","432954709","239202776","    55.25","193751933","32675270","    13.66","     7.55","09-Apr-2021 11:30:12","47744298","431288214","11.07","09-Apr-2021 11:30:12"
"Electrotherm (India) Limited","12742814","3990325","    31.31","8752489","300000","     7.52","     2.35","09-Apr-2021 11:30:17","1088344","11632157","9.36","09-Apr-2021 11:30:17"
"Elgi Equipments Limited","316909016","101479962","    32.02","215429054",,,,"09-Apr-2021 11:30:13","8222073","314584541","2.61","09-Apr-2021 11:30:13"
"Elgi Rubber Company Limited","50050000","32549741","    65.03","17500259","0","     0.00","     0.00","09-Apr-2021 11:30:32","167704","49003505","0.34","09-Apr-2021 11:30:32"
"Emami Limited","444513740","239393412","    53.86","205120328","93207852","    38.94","    20.97","09-Apr-2021 11:30:24","88999387","443392649","20.07","09-Apr-2021 11:30:24"
"Emami Paper Mills Limited","60499050","45358286","    74.97","15140764","0","     0.00","     0.00","09-Apr-2021 11:30:35","302145","60245971","0.5","09-Apr-2021 11:30:35"
"Emco Limited","67909215","30720998","    45.24","37188217","0","     0.00","     0.00","09-Apr-2021 11:30:23","1491229","67757794","2.2","09-Apr-2021 11:30:23"
"Emkay Global Financial Services Limited","24619030","18353984","    74.55","6265046","0","     0.00","     0.00","09-Apr-2021 11:30:24","530067","24615016","2.15","09-Apr-2021 11:30:24"
"Emmbi Industries Limited","17690250","10292321","    58.18","7397929","0","     0.00","     0.00","09-Apr-2021 11:30:30","231707","17690240","1.31","09-Apr-2021 11:30:30"
"Energy Development Company Limited","47500000","27616041","    58.14","19883959","0","     0.00","     0.00","09-Apr-2021 11:30:27","1015755","47472794","2.14","09-Apr-2021 11:30:27"
"Engineers India Limited","631911420","325404724","    51.50","306506696","0","     0.00","     0.00","09-Apr-2021 11:30:17","17362498","561498461","3.09","09-Apr-2021 11:30:17"
"Entertainment Network (India) Limited","47670415","33918400","    71.15","13752015","0","     0.00","     0.00","09-Apr-2021 11:30:23","1079596","47670171","2.26","09-Apr-2021 11:30:23"
"Eon Electric Limited","16902466","10437123","    61.75","6465343","4098030","    39.26","    24.25","09-Apr-2021 11:30:33","1873386","16309712","11.49","09-Apr-2021 11:30:33"
"Eros International Media Limited","95727437","59584302","    62.24","36143135","36721169","    61.63","    38.36","09-Apr-2021 11:30:31","22990276","95864695","23.98","09-Apr-2021 11:30:31"
"Esab India Limited","15393020","11347960","    73.72","4045060","0","     0.00","     0.00","09-Apr-2021 11:30:14","92414","15238254","0.61","09-Apr-2021 11:30:14"
"Escorts Limited","134834566","52274498","    38.77","82560068","0","     0.00","     0.00","09-Apr-2021 11:30:06","8489224","133793012","6.35","09-Apr-2021 11:30:06"
"Ess Dee Aluminium Limited","32047811","18578663","    57.97","13469148","1307596","     7.04","     4.08","09-Apr-2021 11:30:25","1648044","32047551","5.14","09-Apr-2021 11:30:25"
"Essar Shipping Limited","206976072","153920826","    74.37","53055246","0","     0.00","     0.00","09-Apr-2021 11:30:32","2189709","204757940","1.07","09-Apr-2021 11:30:32"
"Ester Industries Limited","83393759","53408203","    64.04","29985556","5000000","     9.36","     6.00","09-Apr-2021 11:30:32","6552052","82435502","7.95","09-Apr-2021 11:30:32"
"Euro Ceramics Limited","33737717","3404095","    10.09","30333622","3403895","    99.99","    10.09","09-Apr-2021 11:30:26","4930330","31260115","15.77","09-Apr-2021 11:30:26"
"Euro Multivision Limited","23800049","11187563","    47.01","12612486","0","     0.00","     0.00","09-Apr-2021 11:30:29","60900","23799859","0.26","09-Apr-2021 11:30:29"
"Eurotex Industries and Exports Limited","8749865","6211627","    70.99","2538238","0","     0.00","     0.00","09-Apr-2021 11:30:04","422758","8376556","5.05","09-Apr-2021 11:30:04"
"Eveready Industries India Limited","72687260","3576506","     4.92","69110754","111968","     3.13","     0.15","09-Apr-2021 11:30:22","13605716","71936629","18.91","09-Apr-2021 11:30:22"
"Everest Industries Limited","15636340","7933409","    50.74","7702931","0","     0.00","     0.00","09-Apr-2021 11:30:13","794427","15458002","5.14","09-Apr-2021 11:30:13"
"Everest Kanto Cylinder Limited","112207682","75613143","    67.39","36594539","33651600","    44.50","    29.99","09-Apr-2021 11:30:23","2436513","112206052","2.17","09-Apr-2021 11:30:23"
"Excel Industries Limited","12570692","6685158","    53.18","5885534","0","     0.00","     0.00","09-Apr-2021 11:30:21","436907","12396208","3.52","09-Apr-2021 11:30:21"
"Excel Realty N Infra Limited","94046337","47275731","    50.27","46770606",,,,"09-Apr-2021 11:30:29","2820592","93815901","3.01","09-Apr-2021 11:30:29"
"Exide Industries Limited","850000000","390954666","    45.99","459045334","0","     0.00","     0.00","09-Apr-2021 11:30:04","7973598","842150889","0.95","09-Apr-2021 11:30:04"
"Expleo Solutions Limited","10252485","5758804","    56.17","4493681","0","     0.00","     0.00","09-Apr-2021 11:30:29","831170","10252481","8.11","09-Apr-2021 11:30:29"
"FCS Software Solutions Limited","1709553100","335962450","    19.65","1373590650","0","     0.00","     0.00","09-Apr-2021 11:30:23","73890473","1709027078","4.32","09-Apr-2021 11:30:23"
"FDC Limited","168810084","117077658","    69.35","51732426",,,,"09-Apr-2021 11:30:17","1766280","167014560","1.06","09-Apr-2021 11:30:17"
"Fedders Electric and Engineering Limited","33969700","17651682","    51.96","16318018",,,,"09-Apr-2021 11:30:16","384389","33482928","1.15","09-Apr-2021 11:30:16"
"Federal-Mogul Goetze (India) Limited.","55632130","53218723","    95.66","2413407","0","     0.00","     0.00","09-Apr-2021 11:30:14","109193","55241440","0.2","09-Apr-2021 11:30:14"
"Fertilizers and Chemicals Travancore Limited","647071974","582364776","    90.00","64707198","0","     0.00","     0.00","09-Apr-2021 11:30:04","486319","644081116","0.08","09-Apr-2021 11:30:04"
"Fiem Industries Limited","13159830","8759157","    66.56","4400673","0","     0.00","     0.00","09-Apr-2021 11:30:25","269061","13055383","2.06","09-Apr-2021 11:30:25"
"Filatex India Limited","220818000","144033936","    65.23","76784064","48741500","    33.84","    22.07","09-Apr-2021 11:30:32","53546908","220397900","24.3","09-Apr-2021 11:30:32"
"Finolex Cables Limited","152939345","55092670","    36.02","97846675","0","     0.00","     0.00","09-Apr-2021 11:30:15","2900860","151555759","1.91","09-Apr-2021 11:30:15"
"Finolex Industries Limited","124095381","65546297","    52.82","58549084","14400","     0.02","     0.01","09-Apr-2021 11:30:15","2359524","117869504","2","09-Apr-2021 11:30:15"
"Firstsource Solutions Limited","695553981","390451673","    56.14","305102308","0","     0.00","     0.00","09-Apr-2021 11:30:26","21447399","696098032","3.08","09-Apr-2021 11:30:26"
"Flexituff Ventures International Limited","24882806","8181603","    32.88","16701203","8181603","   100.00","    32.88","09-Apr-2021 11:30:32","13213095","23757008","55.62","09-Apr-2021 11:30:32"
"Fortis Healthcare Limited","754958148","235294117","    31.17","519664031","0","     0.00","     0.00","09-Apr-2021 11:30:26","41504436","754141527","5.5","09-Apr-2021 11:30:26"
"Foseco India Limited","6386459","4788845","    74.98","1597614","0","     0.00","     0.00","09-Apr-2021 11:30:14","48518","6339117","0.77","09-Apr-2021 11:30:14"
"Future Consumer Limited","1987040879","748207024","    37.65","1238833855","701310381","    93.73","    35.29","09-Apr-2021 11:30:33","293017867","1986890559","14.75","09-Apr-2021 11:30:33"
"Future Enterprises Limited","39374679","28436580","    72.22","10938099",,,,"09-Apr-2021 11:30:29","476053","39318642","1.21","09-Apr-2021 11:30:29"
"Future Enterprises Limited","454930401","168751415","    37.09","286178986","167506276","    99.26","    36.82","09-Apr-2021 11:30:20","101694966","454470083","22.38","09-Apr-2021 11:30:20"
"Future Lifestyle Fashions Limited","201774874","41515094","    20.57","160259780","40950638","    98.64","    20.30","09-Apr-2021 11:30:33","43086008","201453504","21.39","09-Apr-2021 11:30:33"
"Future Market Networks Limited","57544381","41183410","    71.57","16360971","40350000","    97.98","    70.12","09-Apr-2021 11:30:31","42263732","57503692","73.5","09-Apr-2021 11:30:31"
"Future Retail Limited","542284079","151825480","    28.00","390458599","98316118","    64.76","    18.13","09-Apr-2021 11:30:34","70843054","541319859","13.09","09-Apr-2021 11:30:34"
"Future Supply Chain Solutions Limited","43883598","10265917","    23.39","33617681","9765817","    95.13","    22.25","09-Apr-2021 11:30:35","10737852","43883592","24.47","09-Apr-2021 11:30:35"
"GAIL (India) Limited","4510141866","2365435919","    52.45","2144705947",,,,"09-Apr-2021 11:30:17","18927615","4440151764","0.43","09-Apr-2021 11:30:17"
"GATI Limited","121945977","63294116","    51.90","58651861","3169350","     5.01","     2.60","09-Apr-2021 11:30:20","15206168","121121864","12.55","09-Apr-2021 11:30:20"
"GB Global Limited","3314295","1060965","    32.01","2253330","450","     0.04","     0.01","09-Apr-2021 11:30:35","53912","3314059","1.63","09-Apr-2021 11:30:35"
"GE Power India Limited","67227471","46102083","    68.58","21125388","0","     0.00","     0.00","09-Apr-2021 11:30:19","928816","66633273","1.39","09-Apr-2021 11:30:19"
"GE T&D India Limited","256046535","192034901","    75.00","64011634","0","     0.00","     0.00","09-Apr-2021 11:30:09","1698463","254049129","0.67","09-Apr-2021 11:30:09"
"GFL Limited","109850000","75492611","    68.72","34357389","0","     0.00","     0.00","09-Apr-2021 11:30:05","721948","109051500","0.66","09-Apr-2021 11:30:05"
"GHCL Limited","95013286","18302810","    19.26","76710476","200244","     1.09","     0.21","09-Apr-2021 11:30:13","3576417","92718804","3.86","09-Apr-2021 11:30:13"
"GI Engineering Solutions Limited","8611878","3395177","    39.42","5216701","0","     0.00","     0.00","09-Apr-2021 11:30:29","26378","8585395","0.31","09-Apr-2021 11:30:29"
"GIC Housing Finance Limited","53851066","22836839","    42.41","31014227","0","     0.00","     0.00","09-Apr-2021 11:30:13","3054247","53545323","5.7","09-Apr-2021 11:30:13"
"GKW Limited","5966500","4474875","    75.00","1491625","0","     0.00","     0.00","09-Apr-2021 11:30:29","16470","5854484","0.28","09-Apr-2021 11:30:29"
"GM Breweries Limited","18277538","13604123","    74.43","4673415","0","     0.00","     0.00","09-Apr-2021 11:30:12","498011","17826325","2.79","09-Apr-2021 11:30:12"
"GMR Infrastructure Limited","6035945275","3839469176","    63.61","2196476099","2685317440","    69.94","    44.49","09-Apr-2021 11:30:24","2782731617","6035611124","46.11","09-Apr-2021 11:30:24"
"GNA Axles Limited","21465400","14491546","    67.51","6973854","2470000","    17.04","    11.51","09-Apr-2021 11:30:34","1951873","21465400","9.09","09-Apr-2021 11:30:34"
"GOCL Corporation Limited","49572490","36600791","    73.83","12971699","0","     0.00","     0.00","09-Apr-2021 11:30:33","943359","49212004","1.92","09-Apr-2021 11:30:33"
"GP Petroleums Limited","50984383","37312516","    73.18","13671867",,,,"09-Apr-2021 11:30:22","584266","50982436","1.15","09-Apr-2021 11:30:22"
"GPT Infraprojects Limited","29086000","21814060","    75.00","7271940","14833860","    68.00","    51.00","09-Apr-2021 11:30:34","14966239","29085994","51.46","09-Apr-2021 11:30:34"
"GSS Infotech Limited","16936843","3390329","    20.02","13546514","0","     0.00","     0.00","09-Apr-2021 11:30:28","5290481","16586842","31.9","09-Apr-2021 11:30:28"
"GTL Infrastructure Limited","12406962487","420144016","     3.39","11986818471","420144016","   100.00","     3.39","09-Apr-2021 11:30:25","260868978","12401377234","2.1","09-Apr-2021 11:30:25"
"GTL Limited","157296781","50980559","    32.41","106316222","50500000","    99.06","    32.10","09-Apr-2021 11:30:14","30310172","157089216","19.29","09-Apr-2021 11:30:14"
"GTN Textiles Limited","11640478","7375739","    63.36","4264739","0","     0.00","     0.00","09-Apr-2021 11:30:24","146137","11372033","1.29","09-Apr-2021 11:30:24"
"GTPL Hathway Limited","112463038","84347278","    75.00","28115760","0","     0.00","     0.00","09-Apr-2021 11:30:34","1558245","112463038","1.39","09-Apr-2021 11:30:34"
"GVK Power & Infrastructure Limited","1579210400","856729340","    54.25","722481060","0","     0.00","     0.00","09-Apr-2021 11:30:24","32645806","1577056971","2.07","09-Apr-2021 11:30:24"
"Gabriel India Limited","143643940","75765026","    52.75","67878914","0","     0.00","     0.00","09-Apr-2021 11:30:14","3496970","142048678","2.46","09-Apr-2021 11:30:14"
"Gallantt Ispat Limited","282360720","178155230","    63.09","104205490","0","     0.00","     0.00","09-Apr-2021 11:30:31","257976","282360660","0.09","09-Apr-2021 11:30:31"
"Gallantt Metal Limited","81322324","54675689","    67.23","26646635","510500","     0.93","     0.63","09-Apr-2021 11:30:24","794617","81322293","0.98","09-Apr-2021 11:30:24"
"Gammon India Limited","369573105","42657154","    11.54","326915951","36153699","    84.75","     9.78","09-Apr-2021 11:30:17","38746512","361209845","10.73","09-Apr-2021 11:30:17"
"Gammon Infrastructure Projects Limited","941830724","193999800","    20.60","747830924","193999800","   100.00","    20.60","09-Apr-2021 11:30:29","218576242","941828121","23.21","09-Apr-2021 11:30:29"
"Gandhi Special Tubes Limited","12918616","9480698","    73.39","3437918","0","     0.00","     0.00","09-Apr-2021 11:30:25","63846","12494085","0.51","09-Apr-2021 11:30:25"
"Ganesh Housing Corporation Limited","49227090","26762084","    54.36","22465006","1111500","     4.15","     2.26","09-Apr-2021 11:30:17","2927427","48908650","5.99","09-Apr-2021 11:30:17"
"Ganesha Ecosphere Limited","21829397","9179415","    42.05","12649982","0","     0.00","     0.00","09-Apr-2021 11:30:33","842928","21359959","3.95","09-Apr-2021 11:30:33"
"Gangotri Textiles Limited","32614634","8000457","    24.53","24614177","5987593","    74.84","    18.36","09-Apr-2021 11:30:24","6130212","32188494","19.04","09-Apr-2021 11:30:24"
"Gateway Distriparks Limited","124835908","40123283","    32.14","84712625","6700000","    16.70","     5.37","09-Apr-2021 11:30:22","4505120","124835791","3.61","09-Apr-2021 11:30:22"
"Gayatri Highways Limited","239651900","146554710","    61.15","93097190","146449310","    99.93","    61.11","09-Apr-2021 11:30:35","163034662","239649619","68.03","09-Apr-2021 11:30:35"
"Gayatri Projects Limited","187198685","83718607","    44.72","103480078","81422707","    97.26","    43.50","09-Apr-2021 11:30:32","91677635","187198480","48.97","09-Apr-2021 11:30:32"
"GeeCee Ventures Limited","20911729","14159942","    67.71","6751787","0","     0.00","     0.00","09-Apr-2021 11:30:25","218576","20912678","1.05","09-Apr-2021 11:30:25"
"Genesys International Corporation Limited","31225712","14990902","    48.01","16234810","786046","     5.24","     2.52","09-Apr-2021 11:30:20","1617594","31183034","5.19","09-Apr-2021 11:30:20"
"Genus Paper & Boards Limited","257125940","129823158","    50.49","127302782","3300000","     2.54","     1.28","09-Apr-2021 11:30:33","2024146","254424502","0.8","09-Apr-2021 11:30:33"
"Genus Power Infrastructures Limited","257358965","129897311","    50.47","127461654","0","     0.00","     0.00","09-Apr-2021 11:30:23","10890284","255382689","4.26","09-Apr-2021 11:30:23"
"Geojit Financial Services Limited","238299760","148258345","    62.22","90041415","0","     0.00","     0.00","09-Apr-2021 11:30:23","4849694","238179493","2.04","09-Apr-2021 11:30:23"
"Gillanders Arbuthnot & Company Limited","21342346","14737318","    69.05","6605028","0","     0.00","     0.00","09-Apr-2021 11:30:30","397132","20939555","1.9","09-Apr-2021 11:30:30"
"Gillette India Limited","32585217","24437803","    75.00","8147414","0","     0.00","     0.00","09-Apr-2021 11:30:14","1636839","32508382","5.04","09-Apr-2021 11:30:14"
"Ginni Filaments Limited","70650065","44717283","    63.29","25932782","17700000","    39.58","    25.05","09-Apr-2021 11:30:09","18479007","69788872","26.48","09-Apr-2021 11:30:09"
"Gitanjali Gems Limited","118616005","32926361","    27.76","85689644","25866102","    78.56","    21.81","09-Apr-2021 11:30:24","24910402","118550246","21.01","09-Apr-2021 11:30:24"
"GlaxoSmithKline Pharmaceuticals Limited","169406034","127054524","    75.00","42351510","0","     0.00","     0.00","09-Apr-2021 11:30:14","847761","167183104","0.51","09-Apr-2021 11:30:14"
"Glenmark Pharmaceuticals Limited","282168156","131567217","    46.63","150600939","0","     0.00","     0.00","09-Apr-2021 11:30:19","4947056","281160612","1.76","09-Apr-2021 11:30:19"
"Global Vectra Helicorp Limited","14000000","10500000","    75.00","3500000","0","     0.00","     0.00","09-Apr-2021 11:30:25","162804","13999949","1.16","09-Apr-2021 11:30:25"
"Globus Spirits Limited","28799268","16093363","    55.88","12705905","0","     0.00","     0.00","09-Apr-2021 11:30:29","1034202","28797319","3.59","09-Apr-2021 11:30:29"
"Goa Carbon Limited","9151052","5464989","    59.72","3686063","0","     0.00","     0.00","09-Apr-2021 11:30:18","208985","8940905","2.34","09-Apr-2021 11:30:18"
"Godawari Power And Ispat limited","35236247","23785853","    67.50","11450394","7731846","    32.51","    21.94","09-Apr-2021 11:30:24","9737278","35235615","27.63","09-Apr-2021 11:30:24"
"Godfrey Phillips India Limited","51993920","37721708","    72.55","14272212","0","     0.00","     0.00","09-Apr-2021 11:30:14","638018","51267438","1.24","09-Apr-2021 11:30:14"
"Godrej Consumer Products Limited","1022486273","646488267","    63.23","375998006","4263670","     0.66","     0.42","09-Apr-2021 11:30:20","2199429","1014381757","0.22","09-Apr-2021 11:30:20"
"Godrej Industries Limited","336525098","223355804","    66.37","113169294","12708622","     5.69","     3.78","09-Apr-2021 11:30:20","1263090","336161897","0.38","09-Apr-2021 11:30:20"
"Godrej Properties Limited","252080983","162433533","    64.44","89647450","0","     0.00","     0.00","09-Apr-2021 11:30:30","1937032","277914119","0.7","09-Apr-2021 11:30:30"
"Goenka Diamond and Jewels Limited","317000000","182429250","    57.55","134570750","0","     0.00","     0.00","09-Apr-2021 11:30:30","6379195","316986485","2.01","09-Apr-2021 11:30:30"
"Gokaldas Exports Limited","42895663","14205348","    33.12","28690315","0","     0.00","     0.00","09-Apr-2021 11:30:22","1027936","42895048","2.4","09-Apr-2021 11:30:22"
"Gokul Agro Resources Limited","131895000","94695106","    71.80","37199894","15000000","    15.84","    11.37","09-Apr-2021 11:30:34","19587245","131888710","14.85","09-Apr-2021 11:30:34"
"Gokul Refoils and Solvent Limited","98995000","71367780","    72.09","27627220","0","     0.00","     0.00","09-Apr-2021 11:30:29","4739230","98989585","4.79","09-Apr-2021 11:30:29"
"Golden Tobacco Limited","17608802","5290099","    30.04","12318703","0","     0.00","     0.00","09-Apr-2021 11:30:14","312250","16260256","1.92","09-Apr-2021 11:30:14"
"Goldiam International Limited","22174923","14694672","    66.27","7480251","0","     0.00","     0.00","09-Apr-2021 11:30:23","750672","21956197","3.42","09-Apr-2021 11:30:23"
"Goldstone Technologies Limited","18782066","3534153","    18.82","15247913","0","     0.00","     0.00","09-Apr-2021 11:30:20","506648","18625137","2.72","09-Apr-2021 11:30:20"
"Granules India Limited","247674796","104110386","    42.04","143564410","9000000","     8.64","     3.63","09-Apr-2021 11:30:22","19598030","247490286","7.92","09-Apr-2021 11:30:22"
"Graphite India Limited","195375594","127659645","    65.34","67715949","0","     0.00","     0.00","09-Apr-2021 11:30:11","4377960","194025453","2.26","09-Apr-2021 11:30:11"
"Grasim Industries Limited","657951004","273899775","    41.63","384051229","0","     0.00","     0.00","09-Apr-2021 11:30:15","14286859","638468092","2.24","09-Apr-2021 11:30:15"
"Gravita India Limited","69037914","51440789","    74.51","17597125","0","     0.00","     0.00","09-Apr-2021 11:30:31","2270898","69032283","3.29","09-Apr-2021 11:30:31"
"Greaves Cotton Limited","231206795","128614955","    55.63","102591840",,,,"09-Apr-2021 11:30:14","10457232","229341305","4.56","09-Apr-2021 11:30:14"
"Greenply Industries Limited","122627395","64006380","    52.20","58621015","0","     0.00","     0.00","09-Apr-2021 11:30:16","2181904","122559545","1.78","09-Apr-2021 11:30:16"
"Grindwell Norton Limited","110720000","64574772","    58.32","46145228","0","     0.00","     0.00","09-Apr-2021 11:30:24","679781","109929672","0.62","09-Apr-2021 11:30:24"
"Gufic Biosciences Limited","77830000","51176372","    65.75","26653628","0","     0.00","     0.00","09-Apr-2021 11:30:22","2684973","77715004","3.45","09-Apr-2021 11:30:22"
