"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
"HDFC","Housing Development Finance Corporation Limited","7(2)","SARITA AGARWAL","Immediate relative","Equity Shares","6100","0",,"600","1583700","Sell","Equity Shares","5500","0","03-Mar-2021","03-Mar-2021","03-Mar-2021","Market Sale","-","-","0","0","0","0","NSE","-","04-Mar-2021 16:16","https://archives.nseindia.com/corporate/xbrl/IT_1093718_414280_04032021041614_WEB.xml"
"HDFC","Housing Development Finance Corporation Limited","7(2)","PRAVEEN R SIKCHI","Employees/Designated Employees","Equity Shares","30354","0",,"500","1309900","Sell","Equity Shares","29854","0","03-Mar-2021","03-Mar-2021","03-Mar-2021","Market Sale","-","-","0","0","0","0","NSE","-","04-Mar-2021 16:16","https://archives.nseindia.com/corporate/xbrl/IT_1093718_414280_04032021041614_WEB.xml"
"HDFC","Housing Development Finance Corporation Limited","7(2)","HARINI ANAND","Employees/Designated Employees","Equity Shares","20000","0",,"1000","2556000","Sell","Equity Shares","19000","0","02-Mar-2021","02-Mar-2021","03-Mar-2021","Market Sale","-","-","0","0","0","0","NSE","-","04-Mar-2021 16:16","https://archives.nseindia.com/corporate/xbrl/IT_1093718_414280_04032021041614_WEB.xml"
"HDFC","Housing Development Finance Corporation Limited","7(2)","HARINI ANAND","Employees/Designated Employees","Equity Shares","20000","0",,"1000","2556000","Pledge Revoke","Equity Shares","20000","0","02-Mar-2021","02-Mar-2021","03-Mar-2021","Revokation of Pledge","-","-","0","0","0","0","NA","-","04-Mar-2021 16:16","https://archives.nseindia.com/corporate/xbrl/IT_1093718_414280_04032021041614_WEB.xml"
"CROMPTON","Crompton Greaves Consumer Electricals Limited","7(2)","RANGARAJAN R SRIRAM","Employees/Designated Employees","Equity Shares","25000","0",,"20000","7819915","Sell","Equity Shares","5000","0","01-Mar-2021","01-Mar-2021","02-Mar-2021","Market Sale","-","-","0","0","0","0","NSE","-","04-Mar-2021 16:14","https://archives.nseindia.com/corporate/xbrl/IT_1093715_414276_04032021041409_WEB.xml"
"CROMPTON","Crompton Greaves Consumer Electricals Limited","7(2)","SATYAJIT MOHANTY","Employees/Designated Employees","Equity Shares","23000","0",,"15000","5931230","Sell","Equity Shares","8000","0","01-Mar-2021","01-Mar-2021","02-Mar-2021","Market Sale","-","-","0","0","0","0","NSE","-","04-Mar-2021 16:14","https://archives.nseindia.com/corporate/xbrl/IT_1093715_414276_04032021041409_WEB.xml"
"VTL","Vardhman Textiles Limited","7(2)","Devakar Investment and Trading Company Private Limited","Promoter Group","Equity Shares","6252101","10.86",,"9000","10687590","Buy","Equity Shares","6261101","10.88","02-Mar-2021","02-Mar-2021","03-Mar-2021","Market Purchase","-","-","0","0","0","0","NSE","-","04-Mar-2021 16:13","https://archives.nseindia.com/corporate/xbrl/IT_1093714_414273_04032021041311_WEB.xml"
"VTL","Vardhman Textiles Limited","7(2)","B. K. CHOUDHARY","Employees/Designated Employees","Equity Shares","3500","0.01",,"400","476072","Sell","Equity Shares","3100","0.01","02-Mar-2021","02-Mar-2021","02-Mar-2021","Market Sale","-","-","0","0","0","0","NSE","-","04-Mar-2021 16:13","https://archives.nseindia.com/corporate/xbrl/IT_1093714_414273_04032021041311_WEB.xml"
"CROMPTON","Crompton Greaves Consumer Electricals Limited","7(2)","RANGARAJAN R SRIRAM","Employees/Designated Employees","Equity Shares","25000","0",,"20000","7703000","Pledge Revoke","Equity Shares","25000","0","01-Mar-2021","01-Mar-2021","02-Mar-2021","Revokation of Pledge","-","-","0","0","0","0","NA","-","04-Mar-2021 16:09","https://archives.nseindia.com/corporate/xbrl/IT_1093712_414267_04032021040939_WEB.xml"
"CROMPTON","Crompton Greaves Consumer Electricals Limited","7(2)","SATYAJIT MOHANTY","Employees/Designated Employees","Equity Shares","23000","0",,"15000","5777250","Pledge Revoke","Equity Shares","23000","0","01-Mar-2021","01-Mar-2021","02-Mar-2021","Revokation of Pledge","-","-","0","0","0","0","NA","-","04-Mar-2021 16:09","https://archives.nseindia.com/corporate/xbrl/IT_1093712_414267_04032021040939_WEB.xml"
"PASHUPATI","Pashupati Cotspin Limited","7(2)","Shree Pashupati Fabric LLP","Promoter Group","Equity Shares","14400","0.09",,"38400","2334400","Buy","Equity Shares","52800","0.35","03-Mar-2021","03-Mar-2021","04-Mar-2021","Market Purchase","-","-","0","0","0","0","NSE","-","04-Mar-2021 16:07","https://archives.nseindia.com/corporate/xbrl/IT_1093711_414259_04032021040732_WEB.xml"
"TCI","Transport Corporation of India Limited","7(2)","Jasjit Singh Sethi","Key Managerial Personnel","Equity Shares","46426","0.06",,"6536","1596724","Sell","Equity Shares","39890","0.05","26-Feb-2021","02-Mar-2021","03-Mar-2021","Market Sale","-","-","0","0","0","0","NSE","-","04-Mar-2021 16:03","https://archives.nseindia.com/corporate/xbrl/IT_1093707_414256_04032021040330_WEB.xml"
"VTL","Vardhman Textiles Limited","7(2)","Devakar Investment and Trading Company Private Limited","Promoter Group","Equity Shares","6247101","10.85",,"5000","5896250","Buy","Equity Shares","6252101","10.86","01-Mar-2021","01-Mar-2021","03-Mar-2021","Market Purchase","-","-","0","0","0","0","NSE","-","04-Mar-2021 16:01","https://archives.nseindia.com/corporate/xbrl/IT_1093705_414253_04032021040137_WEB.xml"
"VTL","Vardhman Textiles Limited","7(2)","B. K. CHOUDHARY","Employees/Designated Employees","Equity Shares","3650","0.01",,"150","179564","Sell","Equity Shares","3500","0.01","01-Mar-2021","01-Mar-2021","02-Mar-2021","Market Sale","-","-","0","0","0","0","NSE","-","04-Mar-2021 16:01","https://archives.nseindia.com/corporate/xbrl/IT_1093705_414253_04032021040137_WEB.xml"
"GEEKAYWIRE","Geekay Wires Limited","7(2)","ANKUSH AGARWAL","Immediate relative","Equity Shares","11807","0.11",,"9000","711106","Buy","Equity Shares","20807","0.2","01-Mar-2021","03-Mar-2021","03-Mar-2021","Market Purchase","-","-","0","0","0","0","NSE","-","04-Mar-2021 15:56","https://archives.nseindia.com/corporate/xbrl/IT_1093702_414250_04032021035636_WEB.xml"
"GEEKAYWIRE","Geekay Wires Limited","7(2)","ANITA AGARWAL","Immediate relative","Equity Shares","12459","0.12",,"7140","565315","Buy","Equity Shares","19599","0.19","01-Mar-2021","03-Mar-2021","03-Mar-2021","Market Purchase","-","-","0","0","0","0","NSE","-","04-Mar-2021 15:56","https://archives.nseindia.com/corporate/xbrl/IT_1093702_414250_04032021035636_WEB.xml"
"SIGMA","Sigma Solve Limited","7(3)","DIPTI JAYESHBHAI SHAH","-","Equity Shares","Nil","0",,"9000","410670","Buy","Equity Shares","9000","0.22","02-Mar-2021","03-Mar-2021","04-Mar-2021","Market Purchase","-","-","0","0","0","0","NSE","-","04-Mar-2021 15:50","https://archives.nseindia.com/corporate/xbrl/IT_1093699_414246_04032021035013_WEB.xml"
"DTIL","Dhunseri Tea & Industries Limited","7(2)","Tarugreve Trust","Promoter Group","Equity Shares","2000","0.03",,"2000","0","Sell","Equity Shares","Nil","0","23-Feb-2021","23-Feb-2021","03-Mar-2021","Off Market","-","-","0","0","0","0","NA","-","04-Mar-2021 15:46","https://archives.nseindia.com/corporate/xbrl/IT_1093697_414242_04032021034617_WEB.xml"
"DTIL","Dhunseri Tea & Industries Limited","7(2)","MITALI KHAITAN (MINOR) REPRESENTED BY  MR. HAIGREVE KHAITAN FATHER & NATURAL GUARDIAN","Promoter Group","Equity Shares","Nil","0",,"2000","0","Buy","Equity Shares","2000","0.03","23-Feb-2021","23-Feb-2021","03-Mar-2021","Off Market","-","-","0","0","0","0","NA","-","04-Mar-2021 15:46","https://archives.nseindia.com/corporate/xbrl/IT_1093697_414242_04032021034617_WEB.xml"
"DBCORP","D.B.Corp Limited","7(2)","DB Consolidated Private Limited","Promoter Group","Equity Shares","95723501","54.71",,"5300000","544575000","Pledge Revoke","Equity Shares","95723501","54.71","04-Mar-2021","04-Mar-2021","04-Mar-2021","Revokation of Pledge","-","-","0","0","0","0","NA","-","04-Mar-2021 15:33","https://archives.nseindia.com/corporate/xbrl/IT_1093693_414235_04032021033328_WEB.xml"
"APTECHT","Aptech Limited","7(2)","ANIL PANT","Key Managerial Personnel","Equity Shares","343136","0.84",,"2000","458005","Sell","Equity Shares","341136","0.84","02-Mar-2021","02-Mar-2021","03-Mar-2021","Market Sale","-","-","0","0","0","0","NSE","-","04-Mar-2021 15:28","https://archives.nseindia.com/corporate/xbrl/IT_1093690_414230_04032021032821_WEB.xml"
"APTECHT","Aptech Limited","7(2)","ANIL PANT","Key Managerial Personnel","Equity Shares","348136","0.86",,"5000","1155000","Sell","Equity Shares","343136","0.84","02-Mar-2021","02-Mar-2021","02-Mar-2021","Market Sale","-","-","0","0","0","0","BSE","-","04-Mar-2021 15:28","https://archives.nseindia.com/corporate/xbrl/IT_1093690_414230_04032021032821_WEB.xml"
"APTECHT","Aptech Limited","7(2)","ANIL PANT","Key Managerial Personnel","Equity Shares","353136","0.87",,"5000","1160000","Sell","Equity Shares","348136","0.86","01-Mar-2021","01-Mar-2021","02-Mar-2021","Market Sale","-","-","0","0","0","0","NSE","-","04-Mar-2021 15:28","https://archives.nseindia.com/corporate/xbrl/IT_1093690_414230_04032021032821_WEB.xml"
"GODREJAGRO","Godrej Agrovet Limited","7(2)","Godrej Industries Limited","Promoters","Equity Shares","114399728","59.56",,"17400","8413078","Buy","Equity Shares","114417128","59.57","01-Mar-2021","01-Mar-2021","03-Mar-2021","Market Purchase","-","-","0","0","0","0","BSE","-","04-Mar-2021 15:20","https://archives.nseindia.com/corporate/xbrl/IT_1093686_414227_04032021032057_WEB.xml"
"BLBLIMITED","BLB Limited","7(2)","Sh. Brij Rattan Bagri","Promoters","Equity Shares","33439803","63.25",,"15009","92305","Buy","Equity Shares","33454812","63.28","03-Mar-2021","03-Mar-2021","04-Mar-2021","Market Purchase","-","-","0","0","0","0","NSE","-","04-Mar-2021 14:55","https://archives.nseindia.com/corporate/xbrl/IT_1093683_414221_04032021025519_WEB.xml"
"VGUARD","V-Guard Industries Limited","7(2)","RAMACHANDRAN V","Director","Equity Shares","950946","0.22",,"28100","6292714","Sell","Equity Shares","922846","0.21","03-Mar-2021","03-Mar-2021","04-Mar-2021","Market Sale","-","-","0","0","0","0","NSE","-","04-Mar-2021 14:52","https://archives.nseindia.com/corporate/xbrl/IT_1093681_414217_04032021025233_WEB.xml"
"NCC","NCC Limited","7(2)","A S N RAJU","Promoters","Equity Shares","5782985","0.95",,"742000","69688640","Sell","Equity Shares","5040985","0.83","02-Mar-2021","02-Mar-2021","03-Mar-2021","Market Sale","-","-","0","0","0","0","BSE","-","04-Mar-2021 14:51","https://archives.nseindia.com/corporate/xbrl/IT_1093680_414215_04032021025159_WEB.xml"
"NCC","NCC Limited","7(2)","SIRISHA PROJECTS PRIVATE LIMITED","Promoters","Equity Shares","12888669","2.11",,"742000","69829620","Buy","Equity Shares","13630669","2.24","02-Mar-2021","02-Mar-2021","03-Mar-2021","Market Purchase","-","-","0","0","0","0","BSE","-","04-Mar-2021 14:51","https://archives.nseindia.com/corporate/xbrl/IT_1093680_414215_04032021025159_WEB.xml"
"ELECON","Elecon Engineering Company Limited","7(2)","Prayas Engineering Limited","Promoter Group","Equity Shares","12230414","10.9",,"2100","114975","Pledge Revoke","Equity Shares","12230414","10.9","02-Mar-2021","02-Mar-2021","03-Mar-2021","Revokation of Pledge","-","-","0","0","0","0","BSE,NSE","-","04-Mar-2021 14:17","https://archives.nseindia.com/corporate/xbrl/IT_1093674_414205_04032021021758_WEB.xml"
"JSWHL","JSW Holdings Limited","7(2)","SIDDESHWARI TRADEX PRIVATE LIMITED","Promoter Group","Equity Shares","1258183","11.34",,"21000","78286950","Pledge","Equity Shares","1258183","11.34","01-Mar-2021","01-Mar-2021","02-Mar-2021","Pledge Creation","-","-","0","0","0","0","NA","-","04-Mar-2021 13:00","https://archives.nseindia.com/corporate/xbrl/IT_1093671_414182_04032021010051_WEB.xml"
"MINDTREE","MindTree Limited","7(2)","K M Balaji","Employees/Designated Employees","Equity Shares","Nil","0",,"700","604325","Buy","Equity Shares","700","0","02-Jan-2019","25-Mar-2019","04-Mar-2021","Market Purchase","-","-","0","0","0","0","NSE","-","04-Mar-2021 12:57","https://archives.nseindia.com/corporate/xbrl/IT_1093670_414173_04032021125747_WEB.xml"
"MINDTREE","MindTree Limited","7(2)","K M Balaji","Employees/Designated Employees","Equity Shares","700","0",,"700","603988","Sell","Equity Shares","Nil","0","02-Jan-2019","25-Mar-2019","04-Mar-2021","Market Sale","-","-","0","0","0","0","NSE","-","04-Mar-2021 12:57","https://archives.nseindia.com/corporate/xbrl/IT_1093670_414173_04032021125747_WEB.xml"
"ICICIBANK","ICICI Bank Limited","7(2)","N S KANNAN","Employees/Designated Employees","Equity Shares","100000","0",,"25000","15728179","Sell","Equity Shares","75000","0","03-Mar-2021","03-Mar-2021","04-Mar-2021","Market Sale","-","-","0","0","0","0","NSE","-","04-Mar-2021 12:50","https://archives.nseindia.com/corporate/xbrl/IT_1093668_414157_04032021125022_WEB.xml"
"IIFLWAM","Iifl Wealth Management Limited","7(2)","Nikunj Kedia","-","Equity Shares","88364","0.1",,"25000","30250000","Sell","Equity Shares","63364","0.07","03-Mar-2021","03-Mar-2021","03-Mar-2021","Market Sale","-","-","0","0","0","0","NSE","-","04-Mar-2021 12:15","https://archives.nseindia.com/corporate/xbrl/IT_1093664_414138_04032021121556_WEB.xml"
"IIFLWAM","Iifl Wealth Management Limited","7(2)","Gaurav Kumar Tiwari","-","Equity Shares","850","0",,"850","1024250","Sell","Equity Shares","Nil","0","03-Mar-2021","03-Mar-2021","04-Mar-2021","Market Sale","-","-","0","0","0","0","NSE","-","04-Mar-2021 12:15","https://archives.nseindia.com/corporate/xbrl/IT_1093664_414138_04032021121556_WEB.xml"
"VSSL","Vardhman Special Steels Limited","7(2)","SACHIT JAIN","Promoter Group","Equity Shares","5268104","13.01",,"5000","820750","Buy","Equity Shares","5273104","13.02","03-Mar-2021","03-Mar-2021","03-Mar-2021","Market Purchase","-","-","0","0","0","0","NSE","-","04-Mar-2021 12:03","https://archives.nseindia.com/corporate/xbrl/IT_1093661_414125_04032021120342_WEB.xml"
"VSSL","Vardhman Special Steels Limited","7(2)","SACHIT JAIN","Promoter Group","Equity Shares","5263104","12.99",,"5000","844050","Buy","Equity Shares","5268104","13.01","02-Mar-2021","02-Mar-2021","03-Mar-2021","Market Purchase","-","-","0","0","0","0","NSE","-","04-Mar-2021 12:03","https://archives.nseindia.com/corporate/xbrl/IT_1093661_414125_04032021120342_WEB.xml"
"VSSL","Vardhman Special Steels Limited","7(2)","SACHIT JAIN","Promoter Group","Equity Shares","5258104","12.98",,"5000","798350","Buy","Equity Shares","5263104","12.99","01-Mar-2021","01-Mar-2021","03-Mar-2021","Market Purchase","-","-","0","0","0","0","NSE","-","04-Mar-2021 12:03","https://archives.nseindia.com/corporate/xbrl/IT_1093661_414125_04032021120342_WEB.xml"
"POLYPLEX","Polyplex Corporation Limited","7(2)","MRS. SAKHI SARAF","Promoter Group","Equity Shares","245000","0.78",,"325000","258781250","Buy","Equity Shares","570000","1.82","03-Mar-2021","03-Mar-2021","03-Mar-2021","Market Purchase","-","-","0","0","0","0","NSE","-","04-Mar-2021 11:57","https://archives.nseindia.com/corporate/xbrl/IT_1093660_414122_04032021115735_WEB.xml"
"POLYPLEX","Polyplex Corporation Limited","7(2)","MR. SANJIV SARAF","Promoters","Equity Shares","325138","1.04",,"325000","258781250","Sell","Equity Shares","138","0","03-Mar-2021","03-Mar-2021","03-Mar-2021","Market Purchase","-","-","0","0","0","0","NSE","-","04-Mar-2021 11:57","https://archives.nseindia.com/corporate/xbrl/IT_1093660_414122_04032021115735_WEB.xml"
"ALMONDZ","Almondz Global Securities Limited","7(2)","NAVJEET SINGH SOBTI HUF","Promoter Group","Equity Shares","87482","0.33",,"60","1656","Buy","Equity Shares","87542","0.33","03-Mar-2021","03-Mar-2021","04-Mar-2021","Public Right","-","-","0","0","0","0","BSE","-","04-Mar-2021 11:52","https://archives.nseindia.com/corporate/xbrl/IT_1093658_414119_04032021115241_WEB.xml"
"DEEPAKFERT","Deepak Fertilizers And Petrochemicals Corporation Limited","7(2)","Robust Marketing Services Pvt Ltd","Promoters","Equity Shares","10101044","9.84",,"15000","3053294","Buy","Equity Shares","10116044","9.85","02-Mar-2021","02-Mar-2021","03-Mar-2021","Market Purchase","-","-","0","0","0","0","NSE","-","04-Mar-2021 11:50","https://archives.nseindia.com/corporate/xbrl/IT_1093656_414116_04032021115039_WEB.xml"
"MITTAL","Mittal Life Style Limited","7(2)","MITTALBRIJESHKUMAR JAGDISHKUMAR","Promoter Group","Equity Shares","851167","7.24",,"57000","615030","Sell","Equity Shares","794167","6.76","02-Mar-2021","02-Mar-2021","03-Mar-2021","Market Sale","-","-","0","0","0","0","NSE","-","04-Mar-2021 11:38","https://archives.nseindia.com/corporate/xbrl/IT_1093652_414111_04032021113823_WEB.xml"
"PALASHSECU","Palash Securities Limited","7(2)","DEEPSHIKHA TRADING COMPANY PRIVATE LIMITED","Promoter Group","Equity Shares","664129","6.64",,"23423","1032972","Buy","Equity Shares","687552","6.87","02-Mar-2021","03-Mar-2021","03-Mar-2021","Market Purchase","-","-","0","0","0","0","NSE","-","04-Mar-2021 10:14","https://archives.nseindia.com/corporate/xbrl/IT_1093646_414103_04032021101424_WEB.xml"
"VAIBHAVGBL","Vaibhav Global Limited","7(2)","Vaibhav Global Employee Stock Option Welfare Trust","Other","Equity Shares","2137","0.01",,"1393","5075432","Sell","Equity Shares","744","0","02-Mar-2021","02-Mar-2021","02-Mar-2021","Market Sale","-","-","0","0","0","0","NSE","-","03-Mar-2021 23:36","https://archives.nseindia.com/corporate/xbrl/IT_1093644_414100_03032021113640_WEB.xml"
"VAIBHAVGBL","Vaibhav Global Limited","7(2)","Vaibhav Global Employee Stock Option Welfare Trust","Other","Equity Shares","2222","0.01",,"85","60507","Sell","Equity Shares","2137","0.01","02-Mar-2021","02-Mar-2021","02-Mar-2021","Off Market","-","-","0","0","0","0","NA","-","03-Mar-2021 23:36","https://archives.nseindia.com/corporate/xbrl/IT_1093644_414100_03032021113640_WEB.xml"
"VAIBHAVGBL","Vaibhav Global Limited","7(2)","Vaibhav Global Employee Stock Option Welfare Trust","Other","Equity Shares","5309","0.02",,"3087","11061025","Sell","Equity Shares","2222","0.01","01-Mar-2021","01-Mar-2021","02-Mar-2021","Market Sale","-","-","0","0","0","0","NSE","-","03-Mar-2021 23:36","https://archives.nseindia.com/corporate/xbrl/IT_1093644_414100_03032021113640_WEB.xml"
"VAIBHAVGBL","Vaibhav Global Limited","7(2)","Vaibhav Global Employee Stock Option Welfare Trust","Other","Equity Shares","12843","0.04",,"7534","26367903","Sell","Equity Shares","5309","0.02","26-Feb-2021","26-Feb-2021","02-Mar-2021","Market Sale","-","-","0","0","0","0","NSE","-","03-Mar-2021 23:36","https://archives.nseindia.com/corporate/xbrl/IT_1093644_414100_03032021113640_WEB.xml"
"RELIGARE","Religare Enterprises Limited","7(2)","Mayur Ranjan","Employees/Designated Employees","Equity Shares","37500","0.01",,"30000","2691509","Sell","Equity Shares","7500","0","02-Mar-2021","02-Mar-2021","02-Mar-2021","Market Sale","-","-","0","0","0","0","-","-","03-Mar-2021 21:29","https://archives.nseindia.com/corporate/xbrl/IT_1093643_414094_03032021092922_WEB.xml"
"RELIGARE","Religare Enterprises Limited","7(2)","Nitin Aggarwal","Employees/Designated Employees","Equity Shares","93750","0.04",,"31280","2792499","Sell","Equity Shares","62470","0.02","02-Mar-2021","02-Mar-2021","02-Mar-2021","Market Sale","-","-","0","0","0","0","NSE","-","03-Mar-2021 21:29","https://archives.nseindia.com/corporate/xbrl/IT_1093643_414094_03032021092922_WEB.xml"
"ADANIPORTS","Adani Ports and Special Economic Zone Limited","7(2)","Gautam S. Adani & Rajesh S Adani (On behalf of S. B. Adani Family Trust)","Promoter Group","Equity Shares","799353935","39.34",,"1020000","734900000","Pledge Revoke","Equity Shares","799353935","39.34","02-Mar-2021","02-Mar-2021","03-Mar-2021","Revokation of Pledge","-","-","0","0","0","0","NA","-","03-Mar-2021 21:21","https://archives.nseindia.com/corporate/xbrl/IT_1093641_414092_03032021092152_WEB.xml"
"JMFINANCIL","JM Financial Limited","7(2)","Vikas Kothari","Employees/Designated Employees","Equity Shares","50362","0.01",,"900","84357","Sell","Equity Shares","49462","0.01","25-Feb-2021","25-Feb-2021","01-Mar-2021","Market Sale","-","-","0","0","0","0","NSE","-","03-Mar-2021 21:09","https://archives.nseindia.com/corporate/xbrl/IT_1093639_414088_03032021090952_WEB.xml"
"JMFINANCIL","JM Financial Limited","7(2)","Anjali Jhalaria","Immediate relative","Equity Shares","1500","0",,"750","69698","Sell","Equity Shares","750","0","25-Feb-2021","25-Feb-2021","01-Mar-2021","Market Sale","-","-","0","0","0","0","NSE","-","03-Mar-2021 21:09","https://archives.nseindia.com/corporate/xbrl/IT_1093639_414088_03032021090952_WEB.xml"
"CARBORUNIV","Carborundum Universal Limited","7(2)","Vijayalakshmi D","-","Equity Shares","21404","0.01",,"500","263900","Sell","Equity Shares","20904","0.01","09-Feb-2021","09-Feb-2021","10-Feb-2021","Market Sale","-","-","0","0","0","0","NSE","-","03-Mar-2021 21:09","https://archives.nseindia.com/corporate/xbrl/IT_1093638_414086_03032021090935_WEB.xml"
"CARBORUNIV","Carborundum Universal Limited","7(2)","Vijayalakshmi D","-","Equity Shares","20904","0.01",,"2500","1264259","Sell","Equity Shares","18404","0.01","26-Feb-2021","26-Feb-2021","01-Mar-2021","Market Sale","-","-","0","0","0","0","NSE","-","03-Mar-2021 21:09","https://archives.nseindia.com/corporate/xbrl/IT_1093638_414086_03032021090935_WEB.xml"
"DELTAMAGNT","Delta Manufacturing Limited","7(2)","Ram H. Shroff","Promoter Group","Equity Shares","2115","0.02",,"38715","1173768","Buy","Equity Shares","40830","0.38","15-Feb-2021","26-Feb-2021","02-Mar-2021","Market Purchase","-","-","0","0","0","0","BSE,NSE","-","03-Mar-2021 20:31","https://archives.nseindia.com/corporate/xbrl/IT_1093634_414080_03032021083127_WEB.xml"
"AXISBANK","Axis Bank Limited","7(2)","Akshaya Kumar Panda","Other","Equity Shares","272260","0",,"2000","1520000","Sell","Equity Shares","270260","0","03-Mar-2021","03-Mar-2021","03-Mar-2021","Market Sale","-","-","0","0","0","0","NSE","-","03-Mar-2021 19:40","https://archives.nseindia.com/corporate/xbrl/IT_1093632_414068_03032021074048_WEB.xml"
"AXISBANK","Axis Bank Limited","7(2)","Sanjay S Rele","Other","Equity Shares","15800","0",,"8000","5981505","Sell","Equity Shares","7800","0","03-Mar-2021","03-Mar-2021","03-Mar-2021","Market Sale","-","-","0","0","0","0","NSE","-","03-Mar-2021 19:40","https://archives.nseindia.com/corporate/xbrl/IT_1093632_414068_03032021074048_WEB.xml"
"AXISBANK","Axis Bank Limited","7(2)","Life Insurance Corporation Liited of India","-","Equity Shares","246253407","8.04",,"533983","389940468","Sell","Equity Shares","245719424","8.02","02-Mar-2021","02-Mar-2021","03-Mar-2021","Market Sale","-","-","0","0","0","0","NSE","-","03-Mar-2021 19:40","https://archives.nseindia.com/corporate/xbrl/IT_1093632_414068_03032021074048_WEB.xml"
"WIPRO","Wipro Limited","7(2)","Amal Bhattacharya","Employees/Designated Employees","Equity Shares","6000","0",,"2000","868000","Sell","Equity Shares","4000","0","03-Mar-2021","03-Mar-2021","03-Mar-2021","Market Sale","-","-","0","0","0","0","BSE","-","03-Mar-2021 19:22","https://archives.nseindia.com/corporate/xbrl/IT_1093630_414063_03032021072210_WEB.xml"
"KARURVYSYA","Karur Vysya Bank Limited","7(2)","A K Kasthuri","Promoter Group","Equity Shares","67156","0.01",,"1000","61587","Buy","Equity Shares","68156","0.01","19-Feb-2021","19-Feb-2021","01-Mar-2021","Market Purchase","-","-","0","0","0","0","BSE","-","03-Mar-2021 19:13","https://archives.nseindia.com/corporate/xbrl/IT_1093628_414058_03032021071343_WEB.xml"
"TECHM","Tech Mahindra Limited","7(2)","PEEYUSH GOYAL","Employees/Designated Employees","Equity Shares","5200","0",,"5200","4874272","Sell","Equity Shares","Nil","0","01-Mar-2021","01-Mar-2021","03-Mar-2021","Market Sale","-","-","0","0","0","0","NSE","-","03-Mar-2021 19:00","https://archives.nseindia.com/corporate/xbrl/IT_1093626_414052_03032021070038_WEB.xml"
"TECHM","Tech Mahindra Limited","7(2)","Anil Rander","Employees/Designated Employees","Equity Shares","37351","0",,"22050","20270565","Pledge","Equity Shares","37351","0","26-Feb-2021","26-Feb-2021","01-Mar-2021","Pledge Creation","-","-","0","0","0","0","NA","-","03-Mar-2021 19:00","https://archives.nseindia.com/corporate/xbrl/IT_1093626_414052_03032021070038_WEB.xml"
"TECHM","Tech Mahindra Limited","7(2)","Ved Prakash Nirbhya","Employees/Designated Employees","Equity Shares","17147","0",,"1000","985865","Buy","Equity Shares","18147","0","26-Feb-2021","26-Feb-2021","01-Mar-2021","ESOP","-","-","0","0","0","0","NA","-","03-Mar-2021 19:00","https://archives.nseindia.com/corporate/xbrl/IT_1093626_414052_03032021070038_WEB.xml"
"TECHM","Tech Mahindra Limited","7(2)","KSHITIJ KUMAR","Employees/Designated Employees","Equity Shares","5000","0",,"1800","1723071","Sell","Equity Shares","3200","0","02-Mar-2021","02-Mar-2021","03-Mar-2021","Market Sale","-","-","0","0","0","0","NA","-","03-Mar-2021 19:00","https://archives.nseindia.com/corporate/xbrl/IT_1093626_414052_03032021070038_WEB.xml"
"DHANI","Dhani Services Limited","7(2)","Deepak Kumar Singh","-","Equity Shares","103500","0.02",,"11500","4182033","Sell","Equity Shares","92000","0.02","15-Feb-2021","01-Mar-2021","02-Mar-2021","Market Sale","-","-","0","0","0","0","NSE","-","03-Mar-2021 18:51","https://archives.nseindia.com/corporate/xbrl/IT_1093624_414046_03032021065119_WEB.xml"
"DEEPAKFERT","Deepak Fertilizers And Petrochemicals Corporation Limited","7(2)","Robust Marketing Services Pvt Ltd","Promoters","Equity Shares","10093044","9.83",,"8000","1525700","Buy","Equity Shares","10101044","9.84","01-Mar-2021","01-Mar-2021","02-Mar-2021","Market Purchase","-","-","0","0","0","0","NSE","-","03-Mar-2021 18:45","https://archives.nseindia.com/corporate/xbrl/IT_1093622_414041_03032021064541_WEB.xml"
