,SYMBOL, DATE1, SERIES, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, CLOSE_PRICE, TTL_TRD_QNTY, NO_OF_TRADES, DELIV_QTY, DELIV_PER,HiLo,Wick,ClOP_per,Wick_Percentage,HiLo_Percentage,vol_dis,Factor,Per_vol_Updown,delivery_Factor,delivery_density
85,2021-03-12,DRREDDY, EQ,4520.0,4528.0,4404.0,4426.5,687852,56974,317959.0,46.22,124.0,30.5,-2.1122783237320704,0.6890319665650111,2.73828125,251198.4479315264,3.531040502086639,-77.10412083433344,80.21662618297897,-41.559937759270845
86,2021-03-15,DRREDDY, EQ,4460.0,4464.0,4284.0,4342.25,921758,74240,414456.0,44.96,180.0,62.25,-2.711727790891814,1.4335885773504486,4.03125,228653.1472868217,5.7225936757738705,-9.860043875286767,72.03123831549732,-11.363663958725224
87,2021-03-16,DRREDDY, EQ,4380.0,4468.0,4364.0,4449.7,935727,75308,348578.0,37.25,104.0,34.30000000000018,1.5663977346787448,0.7708384834932787,2.328125,401923.00671140937,5.3269155595253705,43.11021178964251,104.8531758896253,31.302759592783637
88,2021-03-17,DRREDDY, EQ,4448.0,4464.0,4344.0,4355.85,953973,66522,584437.0,61.26,120.0,27.850000000000364,-2.115545760299355,0.639370042586421,2.6875,354966.6976744186,3.2714804591306974,-13.228370251245329,152.3601570277459,31.180711588180653
89,2021-03-18,DRREDDY, EQ,4368.0,4380.0,4196.0,4212.75,1210907,82559,482673.0,39.86,184.0,28.75,-3.6852412319743593,0.682452079995258,4.19921875,288364.82976744184,2.0045676195816746,-23.096390763287367,82.06351925727688,-85.66125168247102
90,2021-03-19,DRREDDY, EQ,4208.0,4304.0,4136.0,4274.45,1412415,98054,553657.0,39.2,168.0,101.55000000000018,1.5545859701248048,2.375744247797968,3.904296875,361759.1195597799,16.54243409405568,20.288165750085476,103.09710451439433,20.40172258589547
91,2021-03-19,DRREDDY, EQ,4208.0,4304.0,4136.0,4274.45,1412415,98054,553657.0,39.2,168.0,101.55000000000018,1.5545859701248048,2.375744247797968,3.904296875,361759.1195597799,16.54243409405568,0.0,103.09710451439433,0.0
92,2021-03-22,DRREDDY, EQ,4276.0,4368.0,4268.0,4353.95,867303,70641,306811.0,35.38,100.0,22.050000000000182,1.79032832255767,0.5064366839306871,2.2890625,378890.04778156994,3.0620123985066123,4.521345525461265,95.98113494766366,-7.4139252162530225
93,2021-03-24,DRREDDY, EQ,4352.0,4420.0,4332.0,4350.5,782404,65561,235307.0,30.07,88.0,86.5,-0.03447879554073552,1.9882772095161414,1.9912109375,392928.73761647864,624.2223567378511,3.572833567752756,83.65022811322802,-14.741031928501913
94,2021-03-25,DRREDDY, EQ,4352.0,4404.0,4284.0,4380.55,941416,68373,433510.0,46.05,120.0,91.44999999999982,0.6517446439374055,2.087637397130493,2.724609375,345523.2917562724,34.673051754045765,-13.71989877129483,113.01415152205992,25.98251901497501
95,2021-03-30,DRREDDY, EQ,4428.0,4528.0,4420.0,4518.2,866350,77755,357518.0,41.27,108.0,17.800000000000182,1.9963702359346627,0.3939621973352274,2.384765625,363285.17608517606,2.1361312593591086,4.889240051110488,103.5593012691334,-9.129889963582261
96,2021-03-31,DRREDDY, EQ,4512.0,4548.0,4480.0,4516.0,772510,66963,255442.0,33.07,68.0,64.0,0.08857395925598155,1.4171833480956622,1.4951171875,516688.5956890921,173.19464233184988,29.689724310505927,117.51636461238304,11.876697674647897
97,2021-04-01,DRREDDY, EQ,4552.0,4596.0,4524.0,4587.65,647640,52621,252282.0,38.95,72.0,36.350000000000364,0.7770863078046375,0.7923446644796428,1.56640625,413455.9600997506,11.037211165433183,-24.96823012647721,109.61468083892075,-7.208599900111785
